,number,name,position,birthday,age,height,foot,joined,contract,value,squad
0,24,André Onana,Goalkeeper,"Apr 2, 1996",25,190,right,"Jan 14, 2015","Jun 30, 2022",15000000.0,ajax amsterdam
1,16,Jay Gorter,Goalkeeper,"May 30, 2000",21,190,right,"Jul 1, 2021","Jun 30, 2025",1500000.0,ajax amsterdam
2,1,Maarten Stekelenburg,Goalkeeper,"Sep 22, 1982",39,197,right,"Aug 1, 2020","Jun 30, 2022",550000.0,ajax amsterdam
3,-,Przemyslaw Tyton,Goalkeeper,"Jan 4, 1987",35,195,right,"Mar 7, 2022","Jun 30, 2022",300000.0,ajax amsterdam
4,32,Remko Pasveer,Goalkeeper,"Nov 8, 1983",38,187,right,"Jul 1, 2021","Jun 30, 2023",250000.0,ajax amsterdam
5,21,Lisandro Martínez,Centre-Back,"Jan 18, 1998",24,175,left,"Jul 1, 2019","Jun 30, 2025",32000000.0,ajax amsterdam
6,2,Jurrien Timber,Centre-Back,"Jun 17, 2001",20,182,right,"Sep 18, 2020","Jun 30, 2024",30000000.0,ajax amsterdam
7,3,Perr Schuurs,Centre-Back,"Nov 26, 1999",22,191,right,"Jan 1, 2018","Jun 30, 2025",8000000.0,ajax amsterdam
8,31,Nicolás Tagliafico,Left-Back,"Aug 31, 1992",29,172,left,"Jan 5, 2018","Jun 30, 2023",16000000.0,ajax amsterdam
9,17,Daley Blind,Left-Back,"Mar 9, 1990",32,180,left,"Jul 17, 2018","Jun 30, 2023",13500000.0,ajax amsterdam
10,12,Noussair Mazraoui,Right-Back,"Nov 14, 1997",24,183,right,"Mar 12, 2018","Jun 30, 2022",20000000.0,ajax amsterdam
11,15,Devyne Rensch,Right-Back,"Jan 18, 2003",19,179,both,"Nov 10, 2020","Jun 30, 2025",10000000.0,ajax amsterdam
12,5,Sean Klaiber,Right-Back,"Jul 31, 1994",27,184,right,"Oct 1, 2020","Jun 30, 2023",4500000.0,ajax amsterdam
13,4,Edson Álvarez,Defensive Midfield,"Oct 24, 1997",24,187,right,"Jul 22, 2019","Jun 30, 2025",20000000.0,ajax amsterdam
14,8,Ryan Gravenberch,Central Midfield,"May 16, 2002",19,190,right,"Sep 12, 2019","Jun 30, 2023",35000000.0,ajax amsterdam
15,20,Mohammed Kudus,Central Midfield,"Aug 2, 2000",21,177,left,"Jul 31, 2020","Jun 30, 2025",15000000.0,ajax amsterdam
16,25,Kenneth Taylor,Central Midfield,"May 16, 2002",19,182,left,"Nov 10, 2020","Jun 30, 2024",3000000.0,ajax amsterdam
17,6,Davy Klaassen,Attacking Midfield,"Feb 21, 1993",29,179,right,"Oct 5, 2020","Jun 30, 2024",15000000.0,ajax amsterdam
18,23,Steven Berghuis,Attacking Midfield,"Dec 19, 1991",30,182,left,"Jul 16, 2021","Jun 30, 2025",15000000.0,ajax amsterdam
19,27,Mohamed Ihattaren,Attacking Midfield,"Feb 12, 2002",20,183,left,"Jan 30, 2022","Dec 31, 2022",5000000.0,ajax amsterdam
20,19,Zakaria Labyad,Attacking Midfield,"Mar 9, 1993",29,175,both,"Jul 1, 2018","Jun 30, 2022",4000000.0,ajax amsterdam
21,10,Dusan Tadic,Left Winger,"Nov 20, 1988",33,181,left,"Jul 3, 2018","Jun 30, 2024",15000000.0,ajax amsterdam
22,30,Mohamed Daramy,Left Winger,"Jan 7, 2002",20,180,right,"Aug 28, 2021","Jun 30, 2026",8500000.0,ajax amsterdam
23,11,Antony,Right Winger,"Feb 24, 2000",22,172,left,"Jul 1, 2020","Jun 30, 2025",35000000.0,ajax amsterdam
