player,AD,VI,Ø,club,home,away,time,date,hashtag
Edson Álvarez,5.0,5.0,5,AFC Ajax,AFC Ajax,AZ Alkmaar,16:45,2021-12-12,ajaaz
Antony,5.5,6.5,6,AFC Ajax,AFC Ajax,AZ Alkmaar,16:45,2021-12-12,ajaaz
Steven Berghuis,5.5,5.5,5.5,AFC Ajax,AFC Ajax,AZ Alkmaar,16:45,2021-12-12,ajaaz
Daley Blind,5.0,5.0,5,AFC Ajax,AFC Ajax,AZ Alkmaar,16:45,2021-12-12,ajaaz
Danilo,---,---,---,AFC Ajax,AFC Ajax,AZ Alkmaar,16:45,2021-12-12,ajaaz
Ryan Gravenberch,5.0,6.0,5.5,AFC Ajax,AFC Ajax,AZ Alkmaar,16:45,2021-12-12,ajaaz
Sébastien Haller,5.5,6.0,5.75,AFC Ajax,AFC Ajax,AZ Alkmaar,16:45,2021-12-12,ajaaz
Davy Klaassen,6.5,6.0,6.25,AFC Ajax,AFC Ajax,AZ Alkmaar,16:45,2021-12-12,ajaaz
Lisandro Martínez,6.5,6.0,6.25,AFC Ajax,AFC Ajax,AZ Alkmaar,16:45,2021-12-12,ajaaz
Remko Pasveer,6.5,5.5,6,AFC Ajax,AFC Ajax,AZ Alkmaar,16:45,2021-12-12,ajaaz
Devyne Rensch,5.0,5.0,5,AFC Ajax,AFC Ajax,AZ Alkmaar,16:45,2021-12-12,ajaaz
Perr Schuurs,6.5,7.0,6.75,AFC Ajax,AFC Ajax,AZ Alkmaar,16:45,2021-12-12,ajaaz
Dušan Tadić,5.5,6.0,5.75,AFC Ajax,AFC Ajax,AZ Alkmaar,16:45,2021-12-12,ajaaz
Jurriën Timber,6.0,6.5,6.25,AFC Ajax,AFC Ajax,AZ Alkmaar,16:45,2021-12-12,ajaaz
Zakaria Aboukhlal,---,---,---,AZ Alkmaar,AFC Ajax,AZ Alkmaar,16:45,2021-12-12,ajaaz
Sam Beukema,---,---,---,AZ Alkmaar,AFC Ajax,AZ Alkmaar,16:45,2021-12-12,ajaaz
Jordy Clasie,6.0,6.0,6,AZ Alkmaar,AFC Ajax,AZ Alkmaar,16:45,2021-12-12,ajaaz
Dani de Wit,7.5,6.0,6.75,AZ Alkmaar,AFC Ajax,AZ Alkmaar,16:45,2021-12-12,ajaaz
Albert Guðmundsson,---,---,---,AZ Alkmaar,AFC Ajax,AZ Alkmaar,16:45,2021-12-12,ajaaz
Pantelis Hatzidiakos,6.5,6.0,6.25,AZ Alkmaar,AFC Ajax,AZ Alkmaar,16:45,2021-12-12,ajaaz
Jesper Karlsson,6.5,6.0,6.25,AZ Alkmaar,AFC Ajax,AZ Alkmaar,16:45,2021-12-12,ajaaz
Bruno Martins Indi,7.0,6.5,6.75,AZ Alkmaar,AFC Ajax,AZ Alkmaar,16:45,2021-12-12,ajaaz
Fredrik Midtsjø,6.5,6.0,6.25,AZ Alkmaar,AFC Ajax,AZ Alkmaar,16:45,2021-12-12,ajaaz
Vangelis Pavlidis,7.5,7.5,7.5,AZ Alkmaar,AFC Ajax,AZ Alkmaar,16:45,2021-12-12,ajaaz
Tijjani Reijnders,---,---,---,AZ Alkmaar,AFC Ajax,AZ Alkmaar,16:45,2021-12-12,ajaaz
Yukinari Sugawara,7.0,7.0,7,AZ Alkmaar,AFC Ajax,AZ Alkmaar,16:45,2021-12-12,ajaaz
Peter Vindahl Jensen,7.5,7.5,7.5,AZ Alkmaar,AFC Ajax,AZ Alkmaar,16:45,2021-12-12,ajaaz
Owen Wijndal,7.5,6.0,6.75,AZ Alkmaar,AFC Ajax,AZ Alkmaar,16:45,2021-12-12,ajaaz
Aslak Witry,6.0,6.0,6,AZ Alkmaar,AFC Ajax,AZ Alkmaar,16:45,2021-12-12,ajaaz
Edson Álvarez,8.0,7.5,7.75,AFC Ajax,AFC Ajax,FC Groningen,18:45,2021-09-25,ajagro
Antony,7.0,8.0,7.5,AFC Ajax,AFC Ajax,FC Groningen,18:45,2021-09-25,ajagro
Steven Berghuis,7.0,7.0,7,AFC Ajax,AFC Ajax,FC Groningen,18:45,2021-09-25,ajagro
Daley Blind,6.0,7.5,6.75,AFC Ajax,AFC Ajax,FC Groningen,18:45,2021-09-25,ajagro
Mohamed Daramy,---,---,---,AFC Ajax,AFC Ajax,FC Groningen,18:45,2021-09-25,ajagro
David Neres,---,---,---,AFC Ajax,AFC Ajax,FC Groningen,18:45,2021-09-25,ajagro
Ryan Gravenberch,6.5,7.5,7,AFC Ajax,AFC Ajax,FC Groningen,18:45,2021-09-25,ajagro
Sébastien Haller,6.0,6.0,6,AFC Ajax,AFC Ajax,FC Groningen,18:45,2021-09-25,ajagro
Davy Klaassen,---,---,---,AFC Ajax,AFC Ajax,FC Groningen,18:45,2021-09-25,ajagro
Mohammed Kudus,---,---,---,AFC Ajax,AFC Ajax,FC Groningen,18:45,2021-09-25,ajagro
Lisandro Martínez,7.5,8.0,7.75,AFC Ajax,AFC Ajax,FC Groningen,18:45,2021-09-25,ajagro
Noussair Mazraoui,7.0,8.0,7.5,AFC Ajax,AFC Ajax,FC Groningen,18:45,2021-09-25,ajagro
Remko Pasveer,6.5,7.0,6.75,AFC Ajax,AFC Ajax,FC Groningen,18:45,2021-09-25,ajagro
Dušan Tadić,6.0,6.5,6.25,AFC Ajax,AFC Ajax,FC Groningen,18:45,2021-09-25,ajagro
Nico Tagliafico,---,---,---,AFC Ajax,AFC Ajax,FC Groningen,18:45,2021-09-25,ajagro
Jurriën Timber,7.0,7.5,7.25,AFC Ajax,AFC Ajax,FC Groningen,18:45,2021-09-25,ajagro
Paulos Abraham,5.0,5.0,5,FC Groningen,AFC Ajax,FC Groningen,18:45,2021-09-25,ajagro
Wessel Dammers,6.0,5.0,5.5,FC Groningen,AFC Ajax,FC Groningen,18:45,2021-09-25,ajagro
Damil Dankerlui,6.0,5.0,5.5,FC Groningen,AFC Ajax,FC Groningen,18:45,2021-09-25,ajagro
Michael de Leeuw,5.5,6.0,5.75,FC Groningen,AFC Ajax,FC Groningen,18:45,2021-09-25,ajagro
Mo el Hankouri,6.0,5.0,5.5,FC Groningen,AFC Ajax,FC Groningen,18:45,2021-09-25,ajagro
Daleho Irandust,---,---,---,FC Groningen,AFC Ajax,FC Groningen,18:45,2021-09-25,ajagro
Patrick Joosten,6.0,6.0,6,FC Groningen,AFC Ajax,FC Groningen,18:45,2021-09-25,ajagro
Yahya Kalley,6.0,5.0,5.5,FC Groningen,AFC Ajax,FC Groningen,18:45,2021-09-25,ajagro
Neraysho Kasanwirjo,6.0,5.5,5.75,FC Groningen,AFC Ajax,FC Groningen,18:45,2021-09-25,ajagro
Peter Leeuwenburgh,6.5,5.5,6,FC Groningen,AFC Ajax,FC Groningen,18:45,2021-09-25,ajagro
Bjorn Meijer,---,---,---,FC Groningen,AFC Ajax,FC Groningen,18:45,2021-09-25,ajagro
Cyril Ngonge,5.0,5.0,5,FC Groningen,AFC Ajax,FC Groningen,18:45,2021-09-25,ajagro
Romano Postema,5.5,5.5,5.5,FC Groningen,AFC Ajax,FC Groningen,18:45,2021-09-25,ajagro
Jørgen Strand Larsen,5.0,5.0,5,FC Groningen,AFC Ajax,FC Groningen,18:45,2021-09-25,ajagro
Tomáš Suslov,5.0,4.5,4.75,FC Groningen,AFC Ajax,FC Groningen,18:45,2021-09-25,ajagro
Marin Šverko,5.5,5.0,5.25,FC Groningen,AFC Ajax,FC Groningen,18:45,2021-09-25,ajagro
Edson Álvarez,6.5,6.5,6.5,AFC Ajax,AFC Ajax,FC Twente,16:45,2022-02-13,ajatwe
Antony,6.5,5.5,6,AFC Ajax,AFC Ajax,FC Twente,16:45,2022-02-13,ajatwe
Steven Berghuis,7.5,8.5,8,AFC Ajax,AFC Ajax,FC Twente,16:45,2022-02-13,ajatwe
Daley Blind,6.5,7.0,6.75,AFC Ajax,AFC Ajax,FC Twente,16:45,2022-02-13,ajatwe
Danilo,---,---,---,AFC Ajax,AFC Ajax,FC Twente,16:45,2022-02-13,ajatwe
Ryan Gravenberch,---,---,---,AFC Ajax,AFC Ajax,FC Twente,16:45,2022-02-13,ajatwe
Sébastien Haller,8.0,7.5,7.75,AFC Ajax,AFC Ajax,FC Twente,16:45,2022-02-13,ajatwe
Davy Klaassen,7.0,7.0,7,AFC Ajax,AFC Ajax,FC Twente,16:45,2022-02-13,ajatwe
Mohammed Kudus,---,---,---,AFC Ajax,AFC Ajax,FC Twente,16:45,2022-02-13,ajatwe
Lisandro Martínez,8.0,7.5,7.75,AFC Ajax,AFC Ajax,FC Twente,16:45,2022-02-13,ajatwe
Noussair Mazraoui,6.5,7.0,6.75,AFC Ajax,AFC Ajax,FC Twente,16:45,2022-02-13,ajatwe
Remko Pasveer,6.5,6.0,6.25,AFC Ajax,AFC Ajax,FC Twente,16:45,2022-02-13,ajatwe
Dušan Tadić,5.0,5.0,5,AFC Ajax,AFC Ajax,FC Twente,16:45,2022-02-13,ajatwe
Nico Tagliafico,---,---,---,AFC Ajax,AFC Ajax,FC Twente,16:45,2022-02-13,ajatwe
Jurriën Timber,7.5,7.5,7.5,AFC Ajax,AFC Ajax,FC Twente,16:45,2022-02-13,ajatwe
Jesse Bosch,6.0,5.5,5.75,FC Twente,AFC Ajax,FC Twente,16:45,2022-02-13,ajatwe
Max Bruns,---,---,---,FC Twente,AFC Ajax,FC Twente,16:45,2022-02-13,ajatwe
Vaclav Černý,---,---,---,FC Twente,AFC Ajax,FC Twente,16:45,2022-02-13,ajatwe
Denilho Cleonise,---,---,---,FC Twente,AFC Ajax,FC Twente,16:45,2022-02-13,ajatwe
Mees Hilgers,5.5,4.5,5,FC Twente,AFC Ajax,FC Twente,16:45,2022-02-13,ajatwe
Dimitris Limnios,6.0,4.5,5.25,FC Twente,AFC Ajax,FC Twente,16:45,2022-02-13,ajatwe
Virgil Misidjan,---,---,---,FC Twente,AFC Ajax,FC Twente,16:45,2022-02-13,ajatwe
