,number,name,position,birthday,age,height,foot,joined,contract,value,squad, twitter,first_name,last_name
0,24,André Onana,Goalkeeper,"Apr 2, 1996",25,190,right,"Jan 14, 2015","Jun 30, 2022",15000000.0,Ajax, @AndreyOnana,André,Onana
1,16,Jay Gorter,Goalkeeper,"May 30, 2000",21,190,right,"Jul 1, 2021","Jun 30, 2025",1500000.0,Ajax, @gorterjay,Jay,Gorter
2,1,Maarten Stekelenburg,Goalkeeper,"Sep 22, 1982",39,197,right,"Aug 1, 2020","Jun 30, 2022",550000.0,Ajax, @MStekelenburg,Maarten,Stekelenburg
3,-,Przemyslaw Tyton,Goalkeeper,"Jan 4, 1987",35,195,right,"Mar 7, 2022","Jun 30, 2022",300000.0,Ajax, @PrzemyslawTyton,Przemyslaw,Tyton
4,32,Remko Pasveer,Goalkeeper,"Nov 8, 1983",38,187,right,"Jul 1, 2021","Jun 30, 2023",250000.0,Ajax, -,Remko,Pasveer
5,21,Lisandro Martínez,Centre-Back,"Jan 18, 1998",24,175,left,"Jul 1, 2019","Jun 30, 2025",32000000.0,Ajax, @LisandrMartinez,Lisandro,Martínez
6,2,Jurrien Timber,Centre-Back,"Jun 17, 2001",20,182,right,"Sep 18, 2020","Jun 30, 2024",30000000.0,Ajax, @JurrienTimber,Jurrien,Timber
7,3,Perr Schuurs,Centre-Back,"Nov 26, 1999",22,191,right,"Jan 1, 2018","Jun 30, 2025",8000000.0,Ajax, -,Perr,Schuurs
8,31,Nicolás Tagliafico,Left-Back,"Aug 31, 1992",29,172,left,"Jan 5, 2018","Jun 30, 2023",16000000.0,Ajax, @nico_taglia,Nicolás,Tagliafico
9,17,Daley Blind,Left-Back,"Mar 9, 1990",32,180,left,"Jul 17, 2018","Jun 30, 2023",13500000.0,Ajax, @BlindDaley,Daley,Blind
10,12,Noussair Mazraoui,Right-Back,"Nov 14, 1997",24,183,right,"Mar 12, 2018","Jun 30, 2022",20000000.0,Ajax, -,Noussair,Mazraoui
11,15,Devyne Rensch,Right-Back,"Jan 18, 2003",19,179,both,"Nov 10, 2020","Jun 30, 2025",10000000.0,Ajax, @RenschDevyne,Devyne,Rensch
12,5,Sean Klaiber,Right-Back,"Jul 31, 1994",27,184,right,"Oct 1, 2020","Jun 30, 2023",4500000.0,Ajax, @seanklaiber,Sean,Klaiber
13,4,Edson Álvarez,Defensive Midfield,"Oct 24, 1997",24,187,right,"Jul 22, 2019","Jun 30, 2025",20000000.0,Ajax, @EdsonAlvarez19,Edson,Álvarez
14,8,Ryan Gravenberch,Central Midfield,"May 16, 2002",19,190,right,"Sep 12, 2019","Jun 30, 2023",35000000.0,Ajax, @RGravenberch,Ryan,Gravenberch
15,20,Mohammed Kudus,Central Midfield,"Aug 2, 2000",21,177,left,"Jul 31, 2020","Jun 30, 2025",15000000.0,Ajax, @KudusMohammedGH,Mohammed,Kudus
16,25,Kenneth Taylor,Central Midfield,"May 16, 2002",19,182,left,"Nov 10, 2020","Jun 30, 2024",3000000.0,Ajax, -,Kenneth,Taylor
17,6,Davy Klaassen,Attacking Midfield,"Feb 21, 1993",29,179,right,"Oct 5, 2020","Jun 30, 2024",15000000.0,Ajax, @DavyKlaassen,Davy,Klaassen
18,23,Steven Berghuis,Attacking Midfield,"Dec 19, 1991",30,182,left,"Jul 16, 2021","Jun 30, 2025",15000000.0,Ajax, -,Steven,Berghuis
19,27,Mohamed Ihattaren,Attacking Midfield,"Feb 12, 2002",20,183,left,"Jan 30, 2022","Dec 31, 2022",5000000.0,Ajax, @iamIhattaren,Mohamed,Ihattaren
20,19,Zakaria Labyad,Attacking Midfield,"Mar 9, 1993",29,175,both,"Jul 1, 2018","Jun 30, 2022",4000000.0,Ajax, @labyad20,Zakaria,Labyad
21,10,Dusan Tadic,Left Winger,"Nov 20, 1988",33,181,left,"Jul 3, 2018","Jun 30, 2024",15000000.0,Ajax, @DT10_Official,Dusan,Tadic
22,30,Mohamed Daramy,Left Winger,"Jan 7, 2002",20,180,right,"Aug 28, 2021","Jun 30, 2026",8500000.0,Ajax, -,Mohamed,Daramy
23,11,Antony,Right Winger,"Feb 24, 2000",22,172,left,"Jul 1, 2020","Jun 30, 2025",35000000.0,Ajax, @antony00,Antony,
24,22,Sébastien Haller,Centre-Forward,"Jun 22, 1994",27,190,right,"Jan 8, 2021","Jun 30, 2025",30000000.0,Ajax, @SallerSeb,Sébastien,Haller
25,18,Brian Brobbey,Centre-Forward,"Feb 1, 2002",20,180,right,"Jan 1, 2022","Jun 30, 2022",7500000.0,Ajax, -,Brian,Brobbey
26,9,Danilo Pereira,Centre-Forward,"Apr 7, 1999",22,174,right,"Jul 1, 2021","Jun 30, 2022",4200000.0,Ajax, @DaniloPereira9,Danilo,Pereira
27,1,Peter Vindahl,Goalkeeper,"Feb 16, 1998",24,195,right,"Aug 16, 2021","Jun 30, 2025",900000.0,AZ Alkmaar, @PeterVindahl28,Peter,Vindahl
28,12,Hobie Verhulst,Goalkeeper,"Apr 2, 1993",28,192,left,"Jul 1, 2020","Jun 30, 2023",425000.0,AZ Alkmaar, @HobieVerhulst,Hobie,Verhulst
29,16,Beau Reus,Goalkeeper,"Oct 30, 2001",20,198,left,"Jul 1, 2021","Jun 30, 2023",150000.0,AZ Alkmaar, -,Beau,Reus
30,30,Mees Bakker,Goalkeeper,"Mar 11, 2001",20,187,right,"Jul 1, 2020","Jun 30, 2023",100000.0,AZ Alkmaar, @meesnummer1,Mees,Bakker
31,3,Pantelis Chatzidiakos,Centre-Back,"Jan 18, 1997",25,185,right,"Dec 4, 2015","Jun 30, 2024",3000000.0,AZ Alkmaar, @pantelis_hat,Pantelis,Chatzidiakos
32,4,Bruno Martins Indi,Centre-Back,"Feb 8, 1992",30,185,left,"Jul 5, 2021","Jun 30, 2025",2200000.0,AZ Alkmaar, -,Bruno,Martins Indi
33,22,Timo Letschert,Centre-Back,"May 25, 1993",28,188,right,"Sep 3, 2020","Jun 30, 2023",700000.0,AZ Alkmaar, -,Timo,Letschert
34,31,Sam Beukema,Centre-Back,"Nov 17, 1998",23,188,right,"Jul 1, 2021","Jun 30, 2026",700000.0,AZ Alkmaar, -,Sam,Beukema
35,5,Owen Wijndal,Left-Back,"Nov 28, 1999",22,176,left,"Jul 1, 2017","Jun 30, 2023",12000000.0,AZ Alkmaar, -,Owen,Wijndal
36,26,Milos Kerkez,Left-Back,"Nov 7, 2003",18,180,left,"Jan 29, 2022","Jun 30, 2026",300000.0,AZ Alkmaar, @MilosKerkez88,Milos,Kerkez
37,2,Yukinari Sugawara,Right-Back,"Jun 28, 2000",21,179,right,"Jul 1, 2020","Jun 30, 2025",3000000.0,AZ Alkmaar, @ssggwwrrr,Yukinari,Sugawara
38,15,Aslak Fonn Witry,Right-Back,"Mar 10, 1996",25,178,right,"Aug 9, 2021","Jun 30, 2026",1500000.0,AZ Alkmaar, -,Aslak,Fonn Witry
39,20,Jordy Clasie,Defensive Midfield,"Jun 27, 1991",30,169,right,"Jul 22, 2019","Jun 30, 2024",1800000.0,AZ Alkmaar, @JordyClasie,Jordy,Clasie
40,14,Peer Koopmeiners,Defensive Midfield,"May 4, 2000",21,186,right,"Jul 1, 2021","Jun 30, 2025",700000.0,AZ Alkmaar, -,Peer,Koopmeiners
41,6,Fredrik Midtsjö,Central Midfield,"Aug 11, 1993",28,176,right,"Aug 26, 2017","Jun 30, 2023",6000000.0,AZ Alkmaar, -,Fredrik,Midtsjö
42,24,Tijjani Reijnders,Central Midfield,"Jul 29, 1998",23,185,right,"Jan 1, 2018","Jun 30, 2025",1200000.0,AZ Alkmaar, -,Tijjani,Reijnders
43,10,Dani de Wit,Attacking Midfield,"Jan 28, 1998",24,184,right,"Aug 30, 2019","Jun 30, 2024",2800000.0,AZ Alkmaar, -,Dani,de Wit
44,23,Mohamed Taabouni,Attacking Midfield,"Mar 29, 2002",19,178,right,"Jul 1, 2020","Jun 30, 2022",1500000.0,AZ Alkmaar, -,Mohamed,Taabouni
45,-,Jeremy Helmer,Attacking Midfield,"Jul 3, 1997",24,180,right,"Jul 1, 2016","Jun 30, 2022",550000.0,AZ Alkmaar, -,Jeremy,Helmer
46,11,Jesper Karlsson,Left Winger,"Jul 25, 1998",23,179,right,"Sep 29, 2020","Jun 30, 2026",10000000.0,AZ Alkmaar, -,Jesper,Karlsson
47,8,Kamal Sowah,Right Winger,"Jan 9, 2000",22,179,left,"Jan 31, 2022","Jun 30, 2022",5000000.0,AZ Alkmaar, @SowahKamal,Kamal,Sowah
48,7,Zakaria Aboukhlal,Right Winger,"Feb 18, 2000",22,179,both,"Aug 27, 2019","Jun 30, 2023",2000000.0,AZ Alkmaar, @ZAboukhlal,Zakaria,Aboukhlal
49,18,Hakon Evjen,Right Winger,"Feb 14, 2000",22,173,left,"Jan 1, 2020","Jun 30, 2024",1500000.0,AZ Alkmaar, @haakonevjen26,Hakon,Evjen
50,9,Vangelis Pavlidis,Centre-Forward,"Nov 21, 1998",23,186,both,"Jul 9, 2021","Jun 30, 2025",3000000.0,AZ Alkmaar, -,Vangelis,Pavlidis
51,17,Yusuf Barasi,Centre-Forward,"Mar 31, 2003",18,182,right,"Jan 20, 2022","Jun 30, 2025",500000.0,AZ Alkmaar, -,Yusuf,Barasi
52,21,Ernest Poku,Centre-Forward,"Jan 28, 2004",18,172,right,"Jan 28, 2022","Jun 30, 2026",300000.0,AZ Alkmaar, -,Ernest,Poku
53,19,Jelle Duin,Centre-Forward,"Jan 27, 1999",23,186,left,"Jul 1, 2021","Jun 30, 2024",200000.0,AZ Alkmaar, -,Jelle,Duin
54,1.0,Peter Leeuwenburgh,Goalkeeper,"Mar 23, 1994",27,196,right,"Jul 1, 2021","Jun 30, 2023",600000.0,FC Groningen, @pleeuwenburgh,Peter,Leeuwenburgh
55,16.0,Jan Hoekstra,Goalkeeper,"Aug 4, 1998",23,190,right,"Jul 1, 2018","Jun 30, 2024",350000.0,FC Groningen, -,Jan,Hoekstra
56,25.0,Jan de Boer,Goalkeeper,"May 20, 2000",21,199,right,"Aug 29, 2019","Jun 30, 2022",25000.0,FC Groningen, -,Jan,de Boer
57,39.0,Owen van der Vlag,Goalkeeper,"Oct 2, 2003",18,m,,"Jul 1, 2021",-,25000.0,FC Groningen, -,Owen,van der Vlag
58,21.0,Neraysho Kasanwirjo,Centre-Back,"Feb 18, 2002",20,185,right,"Jul 1, 2021","Jun 30, 2024",1000000.0,FC Groningen, -,Neraysho,Kasanwirjo
59,5.0,Mike te Wierik,Centre-Back,"Jun 8, 1992",29,191,right,"Jan 19, 2021","Jun 30, 2024",650000.0,FC Groningen, -,Mike,te Wierik
60,20.0,Marin Sverko,Centre-Back,"Feb 4, 1998",24,187,left,"Jul 1, 2021","Jun 30, 2024",600000.0,FC Groningen, -,Marin,Sverko
61,12.0,Radinio Balker,Centre-Back,"Sep 3, 1998",23,193,right,"Jul 1, 2021","Jun 30, 2024",500000.0,FC Groningen, -,Radinio,Balker
62,3.0,Bart van Hintum,Left-Back,"Jan 16, 1987",35,177,left,"Jul 6, 2019","Jun 30, 2022",300000.0,FC Groningen, -,Bart,van Hintum
63,15.0,Yahya Kalley,Left-Back,"Mar 20, 2001",20,185,,"Aug 31, 2021","Jun 30, 2024",300000.0,FC Groningen, -,Yahya,Kalley
64,40.0,Bjorn Meijer,Left-Back,"Mar 18, 2003",18,190,left,"Jul 1, 2021","Jun 30, 2023",250000.0,FC Groningen, -,Bjorn,Meijer
65,2.0,Damil Dankerlui,Right-Back,"Aug 24, 1996",25,172,right,"Jul 27, 2020","Jun 30, 2024",750000.0,FC Groningen, @DDankerlui,Damil,Dankerlui
