,player,AD,VI,Ø,club,fixture,time,date
0,Edson Álvarez,5.0,5.0,5,AFC Ajax,AFC Ajax - AZ Alkmaar,16:45,12 December 2021
1,Antony,5.5,6.5,6,AFC Ajax,AFC Ajax - AZ Alkmaar,16:45,12 December 2021
2,Steven Berghuis,5.5,5.5,5.5,AFC Ajax,AFC Ajax - AZ Alkmaar,16:45,12 December 2021
3,Daley Blind,5.0,5.0,5,AFC Ajax,AFC Ajax - AZ Alkmaar,16:45,12 December 2021
4,Danilo,---,---,---,AFC Ajax,AFC Ajax - AZ Alkmaar,16:45,12 December 2021
5,Ryan Gravenberch,5.0,6.0,5.5,AFC Ajax,AFC Ajax - AZ Alkmaar,16:45,12 December 2021
6,Sébastien Haller,5.5,6.0,5.75,AFC Ajax,AFC Ajax - AZ Alkmaar,16:45,12 December 2021
7,Davy Klaassen,6.5,6.0,6.25,AFC Ajax,AFC Ajax - AZ Alkmaar,16:45,12 December 2021
8,Lisandro Martínez,6.5,6.0,6.25,AFC Ajax,AFC Ajax - AZ Alkmaar,16:45,12 December 2021
9,Remko Pasveer,6.5,5.5,6,AFC Ajax,AFC Ajax - AZ Alkmaar,16:45,12 December 2021
10,Devyne Rensch,5.0,5.0,5,AFC Ajax,AFC Ajax - AZ Alkmaar,16:45,12 December 2021
11,Perr Schuurs,6.5,7.0,6.75,AFC Ajax,AFC Ajax - AZ Alkmaar,16:45,12 December 2021
12,Dušan Tadić,5.5,6.0,5.75,AFC Ajax,AFC Ajax - AZ Alkmaar,16:45,12 December 2021
13,Jurriën Timber,6.0,6.5,6.25,AFC Ajax,AFC Ajax - AZ Alkmaar,16:45,12 December 2021
14,Team Ø,5.69,5.85,,AFC Ajax,AFC Ajax - AZ Alkmaar,16:45,12 December 2021
15,Zakaria Aboukhlal,---,---,---,AZ Alkmaar,AFC Ajax - AZ Alkmaar,16:45,12 December 2021
16,Sam Beukema,---,---,---,AZ Alkmaar,AFC Ajax - AZ Alkmaar,16:45,12 December 2021
17,Jordy Clasie,6.0,6.0,6,AZ Alkmaar,AFC Ajax - AZ Alkmaar,16:45,12 December 2021
18,Dani de Wit,7.5,6.0,6.75,AZ Alkmaar,AFC Ajax - AZ Alkmaar,16:45,12 December 2021
19,Albert Guðmundsson,---,---,---,AZ Alkmaar,AFC Ajax - AZ Alkmaar,16:45,12 December 2021
20,Pantelis Hatzidiakos,6.5,6.0,6.25,AZ Alkmaar,AFC Ajax - AZ Alkmaar,16:45,12 December 2021
21,Jesper Karlsson,6.5,6.0,6.25,AZ Alkmaar,AFC Ajax - AZ Alkmaar,16:45,12 December 2021
22,Bruno Martins Indi,7.0,6.5,6.75,AZ Alkmaar,AFC Ajax - AZ Alkmaar,16:45,12 December 2021
23,Fredrik Midtsjø,6.5,6.0,6.25,AZ Alkmaar,AFC Ajax - AZ Alkmaar,16:45,12 December 2021
24,Vangelis Pavlidis,7.5,7.5,7.5,AZ Alkmaar,AFC Ajax - AZ Alkmaar,16:45,12 December 2021
25,Tijjani Reijnders,---,---,---,AZ Alkmaar,AFC Ajax - AZ Alkmaar,16:45,12 December 2021
26,Yukinari Sugawara,7.0,7.0,7,AZ Alkmaar,AFC Ajax - AZ Alkmaar,16:45,12 December 2021
27,Peter Vindahl Jensen,7.5,7.5,7.5,AZ Alkmaar,AFC Ajax - AZ Alkmaar,16:45,12 December 2021
28,Owen Wijndal,7.5,6.0,6.75,AZ Alkmaar,AFC Ajax - AZ Alkmaar,16:45,12 December 2021
29,Aslak Witry,6.0,6.0,6,AZ Alkmaar,AFC Ajax - AZ Alkmaar,16:45,12 December 2021
30,Team Ø,6.86,6.41,,AZ Alkmaar,AFC Ajax - AZ Alkmaar,16:45,12 December 2021
31,Edson Álvarez,8.0,7.5,7.75,AFC Ajax,AFC Ajax - FC Groningen,18:45,25 September 2021
32,Antony,7.0,8.0,7.5,AFC Ajax,AFC Ajax - FC Groningen,18:45,25 September 2021
33,Steven Berghuis,7.0,7.0,7,AFC Ajax,AFC Ajax - FC Groningen,18:45,25 September 2021
34,Daley Blind,6.0,7.5,6.75,AFC Ajax,AFC Ajax - FC Groningen,18:45,25 September 2021
35,Mohamed Daramy,---,---,---,AFC Ajax,AFC Ajax - FC Groningen,18:45,25 September 2021
36,David Neres,---,---,---,AFC Ajax,AFC Ajax - FC Groningen,18:45,25 September 2021
37,Ryan Gravenberch,6.5,7.5,7,AFC Ajax,AFC Ajax - FC Groningen,18:45,25 September 2021
38,Sébastien Haller,6.0,6.0,6,AFC Ajax,AFC Ajax - FC Groningen,18:45,25 September 2021
39,Davy Klaassen,---,---,---,AFC Ajax,AFC Ajax - FC Groningen,18:45,25 September 2021
40,Mohammed Kudus,---,---,---,AFC Ajax,AFC Ajax - FC Groningen,18:45,25 September 2021
41,Lisandro Martínez,7.5,8.0,7.75,AFC Ajax,AFC Ajax - FC Groningen,18:45,25 September 2021
42,Noussair Mazraoui,7.0,8.0,7.5,AFC Ajax,AFC Ajax - FC Groningen,18:45,25 September 2021
43,Remko Pasveer,6.5,7.0,6.75,AFC Ajax,AFC Ajax - FC Groningen,18:45,25 September 2021
